"client","age","education","emploi","categorie","adresse","revenus","debcred","debcarte","autres","defaut"
1219,34,"Niveau bac",2,12,5,-0.624668255861116,-0.514257341061442,-0.521439457122648,-0.363314886786895,"Non"
1220,29,"Niveau bac",4,12,1,-0.533642383858838,0.165868431375226,-0.305991437990521,-0.277251453925254,"Non"
1221,26,"Niveau bac",9,12,4,-0.395353078316917,1.36662145439394,0.103908504754546,-0.0056572851048009,"Non"
1222,55,"Niveau bac",24,12,16,1.05230838602699,0.448752602211716,1.80573533484252,0.547913972169449,"Non"
1223,23,"Bac+3",0,12,2,-0.447868004472077,-0.870871960679783,-0.497701654048314,-0.36365569217934,"Non"
1224,37,"Bac+3",13,12,12,0.254081508468562,-0.512752638025078,-0.167937189126186,-0.0374285561593317,"Non"
1225,35.1479582494049,"Niveau bac",2,12,1,-0.391852083239906,-0.240401388443138,-0.332397253899649,-0.245055070838435,"Non"
1226,37,"Bac+5 et plus",1,12,10,0.68995539555639,-1.23200068940722,-0.466715712239506,-0.293786674911934,"Non"
1227,32,"Bac+3",4,12,7.69570871261378,-0.405856063547949,-1.2666088592436,-0.534934541579453,-0.43801971494055,"Non"
1228,31,"Niveau bac",9,12,8,-0.22905581215891,0.937781089030116,0.0412771145270578,0.132327253830375,"Non"
1229,49,"Bac+2",30,12,7.69570871261378,0.805488233097742,0.772263755030042,0.551864026504018,1.15558629718275,"Non"
1230,35.1479582494049,"Niveau bac",9,12,12,-0.3568421324698,-1.18084078617083,-0.506759499234688,-0.419013205846965,"Non"
1231,45,"Bac+2",3,12,7.69570871261378,-0.43911551677955,0.211009522466155,-0.374237378007814,-0.146660788529783,"Non"
1232,33,"Niveau bac",2,12,9,-0.610664275553073,0.338909280557121,-0.295367743352893,-0.327383421932806,"Non"
1233,50,"Bac+4",25,12,24,5.09945869505133,-0.080902866588521,1.65626124769321,3.26096772036632,"Non"
1234,45,"Bac+2",1,12,16,-0.519638403550796,-0.357768225279554,-0.301005722642282,-0.373612212048776,"Non"
1235,36,"Bac+2",4,12,9,0.11229120784963,-0.870871960679783,-0.324411343093139,-0.244564091481187,"Oui"
1236,34,"Bac+2",2,12,0,-0.218552826927878,-0.967172955007099,-0.479227433782432,-0.326931949710139,"Non"
1237,35.1479582494049,"Niveau bac",6,12,10,-0.3568421324698,-0.959649439825278,-0.480219973762488,-0.365692326663609,"Non"
1238,33,"Bac+3",0,12,9,-0.381349098008874,0.113203825102475,0.052344947466836,-0.313162338647478,"Oui"
1239,44,"Niveau bac",18,12,22,0.273336981392121,1.4358377940667,0.103434079222711,1.11274302421452,"Non"
1240,53,"Bac+3",31,12,18,1.21510465710799,-0.148614503224915,-0.000500047855314837,0.846421584483609,"Non"
1241,33,"Bac+4",3,12,7.69570871261378,-0.285071733391081,0.144802588866125,0.092496206737898,-0.233805314813283,"Non"
1242,24,"Bac+2",1,12,0,-0.580905817398482,0.459285523466266,-0.458712197769219,-0.20181583365784,"Non"
1243,45,"Bac+2",11,12,0,0.180560611851338,-0.566921947334193,-0.272065034140443,-0.063020966764234,"Oui"
1244,31,"Niveau bac",1,12,9,-0.554648354320902,0.70154271232092,-0.136984727273295,-0.274703641556549,"Non"
1245,25,"Bac+2",3,12,2,-0.482877955242184,-0.750495717770638,-0.458593183804188,-0.366735050398037,"Non"
1246,27,"Niveau bac",0,12,7.69570871261378,-0.605412782937557,-0.908489536588891,-0.492768617065494,-0.427489756688952,"Non"
1247,33,"Bac+5 et plus",7,12,13,-0.321832181699693,-0.982219985370742,-0.50357953096965,-0.351531142052455,"Non"
1248,22,"Bac+2",1,12,2,-0.46537297985713,0.919724652593745,-0.291505883811803,-0.0429654337755786,"Non"
1249,26,"Niveau bac",0,12,7,-0.652676216477201,1.04762441068471,-0.12311742657616,-0.35682517470204,"Non"
1250,18,"Bac+2",0,12,0,-0.500382930627237,-0.991248203588928,-0.429218161613377,-0.43934454914237,"Oui"
1251,24,"Niveau bac",1,12,5,-0.528390891243323,-0.631624177897858,-0.504285812474456,-0.341331924554071,"Oui"
1252,30,"Bac+3",5,12,2,-0.495131438011721,-1.06798805844351,-0.472062985233414,-0.435083458476393,"Non"
1253,43,"Bac+2",7,12,7,-0.404105566009444,-0.828740275661582,-0.288752440480803,-0.432012435152165,"Non"
1254,29,"Bac+3",6,12,3,-0.395353078316917,-0.765542748134281,-0.364807255120322,-0.376743701297375,"Oui"
1255,44,"Niveau bac",16,12,16,0.800236740482226,-1.31626405944362,-0.504567859268296,-0.339293961083623,"Non"
1256,49,"Bac+2",13,12,8,0.667198927555821,-0.783599184570653,-0.479042527382424,0.0978321268865435,"Non"
1257,35.1479582494049,"Niveau bac",6,12,20,-0.290323226006597,-0.952125924643456,-0.377106270578105,-0.389942036895514,"Non"
1258,35.1479582494049,"Bac+3",3,12,12,-0.211550836773857,-0.809179136188846,-0.47090811437145,-0.269061874221839,"Non"
1259,18,"Bac+2",0,12,0,-0.535392881397344,1.0100068347756,-0.39881124512911,-0.0712949400367449,"Oui"
1260,43,"Bac+3",21,12,14,1.30262953403326,0.227561255866162,1.49700824121132,0.691068699038865,"Non"
1261,39,"Niveau bac",6,12,9,-0.160786408157202,-0.584978383770565,-0.102955700080082,-0.326072552399501,"Non"
1262,35,"Bac+3",3,12,7,0.0597762816944699,0.152326104047947,-0.172383230228505,0.208649662962803,"Non"
1263,27,"Bac+2",6,12,1,-0.232556807235921,-0.258457824879509,-0.507079981664875,-0.0595945309866146,"Oui"
1264,30,"Bac+4",2,12,5,0.0510237940019432,-0.636138287006951,-0.277851496225626,-0.164461762768421,"Oui"
1265,35.1479582494049,"Bac+3",0,12,1,-0.253562777697985,0.557091220829946,0.112854756557423,-0.0683003393112951,"Non"
1266,39,"Niveau bac",20,12,10,0.0247663309243632,1.4614177456849,0.203222410855252,0.671710291496363,"Non"
1267,28,"Niveau bac",6,12,0,-0.554648354320902,-0.643661802188772,-0.472886563035947,-0.370657684234729,"Oui"
1268,38,"Niveau bac",7,12,17,-0.132778447541117,0.725617960902749,-0.174068355661836,0.272521946875379,"Non"
1269,32,"Niveau bac",12,12,7,-0.362093625085316,0.0334545641751667,0.112642568036817,-0.346568834372011,"Non"
1270,25,"Niveau bac",3,12,7.69570871261378,-0.369095615239337,0.0575298127569954,-0.168995252776488,-0.21735134615564,"Oui"
1271,27,"Niveau bac",2,12,2,-0.502133428165742,1.39521081208487,0.0486225586290589,-0.145738457388066,"Oui"
1272,35.1479582494049,"Bac+5 et plus",0,12,4,0.11229120784963,0.36298452913895,0.914269391125398,-0.120102031114539,"Oui"
1273,21,"Niveau bac",1,12,0,-0.577404822321472,-0.309617728115896,-0.370657804634163,-0.370589935407163,"Oui"
1274,27,"Bac+4",2,12,3,-0.290323226006597,0.212514225502519,0.149377584362645,-0.24201102357623,"Non"
1275,31,"Niveau bac",2,12,4,-0.496881935550226,1.19207590217568,-0.320053592031088,-0.0134577503261672,"Non"
1276,32,"Bac+2",0,12,4,-0.272818250621544,1.22066525986661,-0.180127289596945,0.270375324787747,"Oui"
1277,32,"Niveau bac",6,12,10,-0.49163044293471,0.122232043320661,-0.0168324437413852,-0.379355998963285,"Non"
1278,46,"Bac+4",14,12,4,1.30963152418728,2.40486654948532,5.24498708703262,1.66421529221064,"Oui"
1279,42,"Bac+3",20,12,22,1.70349347035098,-0.351749413134096,0.461154773142937,0.711930157535062,"Non"
1280,29,"Bac+2",1,12,10,-0.20279834908133,1.43884720013943,0.264908663544615,0.257662290151366,"Non"
1281,25,"Bac+2",0,12,0,-0.146782427849159,-1.05745513718896,-0.365140566681443,-0.39469674279044,"Non"
1282,48,"Niveau bac",12,12,8,0.261083498622583,-0.326169461515903,0.300993360031082,-0.127471465747653,"Non"
1283,40,"Bac+2",14,12,19,2.19188228359397,-0.846796712097954,0.534516945345311,0.140810582207197,"Non"
1284,35.1479582494049,"Bac+3",30,12,14,2.0378385002055,-1.29218881086179,-0.400755993872763,-0.218041534942227,"Non"
1285,50,"Bac+3",12,12,7,-0.236057802312932,1.80749944404869,0.0318606747519833,0.443005030554239,"Oui"
1286,32,"Bac+4",7,12,6,0.357360863240377,1.43132368495761,0.785619021391806,0.937003337558889,"Oui"
1287,30,"Niveau bac",0,12,0,-0.530141388781828,-0.320150649370446,-0.316728421035502,-0.365700886984782,"Oui"
1288,42,"Niveau bac",6,12,18,-0.143281432772149,1.03709148943016,0.113149464273723,0.257922883419034,"Non"
1289,39,"Niveau bac",9,12,9,-0.122275462310085,0.0319498611388022,0.233593356604273,-0.196210329081253,"Non"
1290,24,"Niveau bac",3,12,5,-0.617666265707094,0.253141207484356,-0.343950682060903,-0.325317837061149,"Non"
1291,28,"Bac+2",8,12,4,-0.185293373696277,-0.02823826031577,-0.10898157458046,-0.117850710847472,"Oui"
1292,55,"Niveau bac",36,12,35,2.61025119529674,-0.64968061433423,1.40691211420814,0.282429515262777,"Non"
1293,29,"Bac+2",7,12,7.69570871261378,-0.0207466050767755,0.606746421029968,-0.35631735937742,0.437685302207365,"Non"
1294,31,"Bac+2",0,12,7,-0.496881935550226,-1.16579375580719,-0.522769038363262,-0.433674498860116,"Non"
1295,35.1479582494049,"Bac+3",18,12,13,0.0597762816944699,-0.870871960679783,-0.28340858664761,-0.281804582673781,"Non"
1296,27,"Niveau bac",7,12,2,-0.503883925704248,3.0338324186856,-0.100377161214433,0.269072903598952,"Oui"
1297,33,"Niveau bac",3,12,6,0.0177643407703419,0.663925136411812,-0.164417912020967,0.424613747765208,"Oui"
1298,28,"Niveau bac",0,12,7,-0.54064437401286,-0.980715282334378,-0.502552560008842,-0.415432212807555,"Non"
1299,73,"Bac+2",2,12,7.69570871261378,-0.20279834908133,1.41627665459397,0.136292258983692,0.307625245594026,"Oui"
1300,48,"Bac+3",0,12,27,-0.402355068470938,0.126746152429754,-0.148691998258067,-0.236923027985641,"Non"
1301,30,"Bac+2",6,12,5,-0.325333176776704,-1.27714178049815,-0.486570781748062,-0.452708079785237,"Non"
1302,21,"Niveau bac",0,12,0,-0.579155319859977,-0.767047451170646,-0.471757356905407,-0.404093153920684,"Oui"
1303,44,"Niveau bac",6,12,5,-0.208049841696846,-0.761028639025189,-0.390377249590864,-0.286137323669986,"Non"
1304,35.1479582494049,"Niveau bac",27,12,24,2.20063477128649,-0.818207354407032,0.0037088678201023,0.435148770014029,"Non"
1305,34,"Niveau bac",3,12,11,-0.554648354320902,-0.207297921643123,-0.328430713696395,-0.355698646749372,"Non"
1306,39,"Niveau bac",16,12,4,-0.335836162007736,-0.565417244297828,-0.214873932958299,-0.358957705410723,"Non"
1307,52,"Bac+2",18,12,21,-0.272818250621544,-1.17181256795264,-0.485225113954716,-0.410593067668843,"Non"
1308,39,"Niveau bac",23,12,13,0.535911612167921,0.117717934211568,0.124287064912941,0.48683989812345,"Non"
1309,35.1479582494049,"Bac+2",2,12,2,-0.0995189943095155,-0.753505123843367,-0.306682590436987,-0.275915597389063,"Non"
1310,20,"Niveau bac",0,12,0,-0.6194167632456,0.203486007284333,-0.435801893048777,-0.292591329933275,"Oui"
1311,24,"Niveau bac",6,12,2,-0.348089644777273,0.817404846120972,0.0650721246565009,-0.0772046468975335,"Non"
1312,29,"Bac+2",9,12,5,-0.276319245698554,-0.0673605392612422,-0.327761434821128,-0.106615255420822,"Oui"
1313,24,"Bac+2",1,12,2,-0.552897856782397,0.949818713321031,-0.487878602634721,-0.0665295963588813,"Oui"
1314,46,"Bac+2",21,12,25,0.61118300632365,-0.0703699453339708,0.114521941910029,0.402054104247141,"Non"
1315,41,"Niveau bac",11,12,5,-0.25531327523649,0.0319498611388022,-0.10712351789657,-0.155236771701314,"Oui"
1316,46,"Bac+3",9,12,19,1.16434022849134,-0.056827618006692,-0.144927269406475,0.978994967600358,"Non"
1317,29,"Niveau bac",2,12,3,-0.316580689084177,-0.177203860915837,-0.109971255016456,-0.273099060184265,"Oui"
1318,33,"Bac+4",7,12,6,0.21732106015995,1.0100068347756,0.359694785694113,0.641252786634591,"Non"
1319,35.1479582494049,"Niveau bac",16,12,6,0.74247032171155,-0.795636808861568,0.377129594041655,-0.272815361416318,"Non"
1320,33,"Niveau bac",9,12,1,0.591927533400092,0.137279073684304,0.287229475197777,0.479567237847523,"Non"
1321,32,"Bac+4",2,12,2,-0.419860043855992,-0.0974545999885283,-0.279762538578879,-0.251575510203506,"Oui"
1322,35.1479582494049,"Bac+2",0,12,7,-0.57040283216745,-0.417956346734126,-0.48097992024011,-0.334761823539183,"Oui"
1323,28,"Niveau bac",10,12,7.69570871261378,-0.521388901089301,2.68775072032181,-0.290398813269508,0.240715300035761,"Non"
1324,32,"Niveau bac",11,12,5,-0.311329196468661,0.314834031975292,0.0354646836412861,-0.177419560708497,"Non"
1325,23,"Bac+4",0,12,7.69570871261378,-0.36034312754681,0.423172650593523,0.193819557149245,-0.26755761509889,"Oui"
1326,49,"Niveau bac",14,12,14,0.0895347398490606,-0.640652396116044,0.0415523682863641,-0.293735242262796,"Non"
1327,37,"Niveau bac",7,12,3,-0.162536905695708,-0.226859061115859,-0.319010971212626,-0.0837383054022873,"Non"
1328,28,"Niveau bac",2,12,2,-0.49163044293471,-1.11914796167989,-0.46194481852145,-0.450111805095704,"Oui"
1329,26,"Niveau bac",8,12,0,-0.430363029087024,-0.574445462516014,-0.504361674496306,-0.278967624461849,"Non"
1330,34,"Niveau bac",16,12,6,0.565670070322512,-1.20943014386175,-0.367536486135377,-0.339469152992232,"Non"
1331,34,"Niveau bac",18,12,12,-0.257063772774996,1.33351798759393,0.81039423729146,-0.1171155177562,"Non"
1332,20,"Bac+3",0,12,0,-0.535392881397344,0.528501863139024,-0.357716620978459,-0.184308860040099,"Non"
1333,36,"Bac+2",4,12,17,-0.146782427849159,-0.351749413134096,-0.251368268835819,-0.154909902983219,"Non"
1334,45,"Bac+3",22,12,6,1.1538372432603,-0.800150917970661,-0.212848673816308,0.153493045741339,"Non"
1335,47,"Niveau bac",3,12,7.69570871261378,-0.535392881397344,-0.755009826879731,-0.490790873582677,-0.375054327070792,"Non"
1336,62,"Bac+4",26,12,12,0.63744046940123,0.934771682957388,1.01022197434769,0.871388254764701,"Non"
1337,30,"Bac+4",4,12,6,-0.0802635213859568,-0.916013051770712,-0.14276559966149,-0.415702739583888,"Non"
1338,50,"Niveau bac",24,12,23,0.357360863240377,-0.816702651370668,-0.241085264288727,-0.158223366095395,"Non"
1339,40,"Bac+2",18,12,1,-0.0365010829233235,-0.556389026079643,-0.295376926888627,-0.161039380251309,"Non"
1340,40,"Bac+4",10,12,7.69570871261378,0.0457723013864273,0.773768458066407,-0.499518292630218,0.66841198354143,"Non"
1341,62,"Bac+3",12,12,10,1.00504495248735,-0.404414019406847,-0.102686695912547,0.463328794797646,"Non"
1342,34,"Niveau bac",12,12,6,0.147301158619737,-0.118520442497629,0.0989150421121596,0.00964179161688803,"Non"
1343,23,"Bac+3",1,12,2,-0.395353078316917,-1.41256505377093,-0.530022912359749,-0.478885866073873,"Non"
1344,35,"Niveau bac",0,12,10,-0.236057802312932,-1.3087405442618,-0.490160027108979,-0.451280996156784,"Non"
1345,26,"Bac+2",8,12,3,-0.0890160090784835,0.648878106048169,0.00454927940916559,0.211527242182434,"Non"
1346,51,"Bac+4",22,12,10,0.45363822785817,1.56373755215767,0.384011423241065,1.37713505006225,"Non"
1347,40,"Bac+2",3,12,9,-0.318331186622682,-0.652690020406958,-0.203760644913155,-0.382528150474142,"Non"
1348,35.1479582494049,"Niveau bac",12,12,7.69570871261378,-0.381349098008874,-0.407423425479576,-0.357731992645175,-0.273199541558332,"Non"
1349,32,"Bac+4",7,12,0,-0.141530935233644,-1.25156182887995,-0.494806203947774,-0.415106169180658,"Non"
1350,40,"Niveau bac",10,12,7.69570871261378,-0.171289393388234,1.19358060521205,0.434877102978121,0.134107718125146,"Non"
1351,18,"Bac+2",0,12,0,-0.115273472156064,-0.118520442497629,-0.144372637545467,-0.0828715588864835,"Non"
1352,32,"Bac+3",5,12,11,0.29609344939269,-0.622595959679672,0.121610813097691,-0.218644993383578,"Non"
1353,43,"Bac+2",23,12,2,0.698707883248917,-0.604539523243301,0.774021516140764,-0.301561310358692,"Non"
1354,29,"Bac+2",2,12,8,-0.416359048778981,-0.0327523694248631,0.00747773071842506,-0.36267626767352,"Non"
1355,40,"Niveau bac",17,12,4,-0.148532925387665,1.68862790417591,-0.216815450158382,0.669340489606733,"Oui"
1356,30,"Bac+2",1,12,4,-0.489879945396205,-0.786608590643382,-0.461992935849397,-0.376124882899359,"Non"
1357,43,"Bac+3",5,12,11,-0.41285805370197,1.68712320113954,0.365694976054396,-0.0682591937813356,"Oui"
1358,31,"Bac+4",4,12,5,-0.25531327523649,1.86768756550326,-0.499427084819878,0.670556931872632,"Non"
1359,41,"Niveau bac",6,12,1,-0.311329196468661,-0.544351401788728,-0.41043742669022,-0.250265884200505,"Oui"
1360,35.1479582494049,"Niveau bac",2,12,6,-0.615915768168589,2.17615168795794,0.00885085531040099,-0.194314181107104,"Oui"
1361,25,"Bac+3",0,12,4,-0.552897856782397,0.867060046320994,-0.354419573145843,-0.142714318397751,"Non"
1362,23,"Niveau bac",0,12,2,-0.551147359243892,0.697028603211827,-0.258130980557291,-0.216051185127374,"Oui"
1363,29,"Bac+2",9,12,0,-0.309578698930156,2.5869356168854,0.0179624883911691,0.564291208819116,"Oui"
1364,49,"Niveau bac",27,12,21,0.95253002633219,0.519473644920838,-0.402911650164797,1.51769456602043,"Non"
1365,29,"Niveau bac",11,12,5,-0.0785130238474515,2.04072841468516,-0.236434122065164,0.962216805877503,"Non"
1366,21,"Bac+3",0,12,2,-0.36034312754681,-0.687298190243337,-0.467462946038215,-0.292562298510146,"Oui"
1367,30,"Bac+2",10,12,11,-0.460121487241614,-0.755009826879731,-0.305603264588595,-0.42791605331646,"Non"
1368,38,"Bac+4",6,12,7,-0.447868004472077,3.20687326786749,0.167344513748662,0.331642029634163,"Oui"
1369,37,"Bac+2",18,12,5,0.822993208482796,1.02354916210288,2.68982675380028,0.4442129876412,"Oui"
1370,28,"Bac+2",6,12,2,-0.271067753083038,-0.5624078382251,-0.135984695546581,-0.359893055312832,"Non"
1371,43,"Bac+3",1,12,14,-0.30432720631464,-0.460088031752327,-0.273618465277614,-0.28143700454536,"Non"
1372,31,"Bac+2",6,12,11,-0.237808299851437,1.98204499626695,0.706702592433282,0.195623889295082,"Oui"
1373,38,"Niveau bac",3,12,6,-0.313079694007166,1.42229546673942,0.199507694911719,0.100682896535769,"Oui"
1374,48,"Niveau bac",28,12,23,0.668949425094326,0.835461282557343,0.816945624178145,0.916033774435313,"Non"
1375,39,"Bac+4",12,12,9,0.549915592475964,-0.569931353406921,0.0298965173382337,-0.00960581796482633,"Non"
1376,45,"Niveau bac",19,12,22,1.04355589833447,-1.24855242280722,-0.409825736573907,-0.283987211151914,"Non"
1377,23,"Bac+3",0,12,1,-0.57040283216745,-0.900966021407069,-0.531754165732343,-0.396766896604603,"Non"
1378,32,"Niveau bac",3,12,7.69570871261378,-0.432113526625529,-0.317141243297717,-0.337727502255104,-0.290520846082634,"Oui"
1379,23,"Bac+3",0,12,0,0.100037725080093,-0.217830842897673,0.220878445694109,-0.13725654640005,"Oui"
1380,42,"Niveau bac",4,12,10,-0.25181228015948,0.385555074684415,-0.10370264274874,-0.0284490297234373,"Non"
1381,36,"Niveau bac",11,12,12,-0.283321235852576,0.447247899175352,-0.0471237104301043,-0.0667226853795879,"Non"
1382,50,"Niveau bac",14,12,1,-0.216802329389373,0.444238493102623,-0.2116049565322,0.0796304647884355,"Non"
1383,45,"Bac+4",12,12,25,1.74725590881361,-0.828740275661582,-0.0803819934555644,0.284308639837472,"Non"
1384,46,"Niveau bac",16,12,22,0.252331010930057,-0.532313777497814,-0.418795705771642,0.0634129849484798,"Non"
1385,35.1479582494049,"Bac+2",3,12,10,-0.353341137392789,0.564614736011768,0.0401140693802047,-0.147900909439669,"Non"
1386,28,"Niveau bac",4,12,9,-0.0925170041554942,2.56286036830357,1.39902988451728,0.42113871116931,"Oui"
1387,28,"Bac+2",3,12,6,-0.496881935550226,-0.080902866588521,-0.512343360682292,-0.202591495998965,"Non"
1388,39,"Bac+2",6,12,2,-0.419860043855992,0.284739971248006,-0.509122647149165,-0.0475592940350892,"Non"
1389,41,"Bac+2",13,12,10,0.373115341086925,-1.20040192564357,-0.360591831070866,-0.367880095754578,"Non"
1390,25,"Bac+2",1,12,3,-0.535392881397344,-1.12667147686172,-0.492703921498506,-0.44696780245507,"Non"
1391,50,"Bac+3",19,12,7,0.822993208482796,-0.783599184570653,0.0893664422328425,-0.098386432317332,"Non"
1392,35.1479582494049,"Niveau bac",2,12,7.69570871261378,-0.337586659546241,0.0725768431206387,-0.294571677340221,-0.12804005671903,"Non"
1393,41,"Bac+5 et plus",9,12,19,0.0440218038479219,-1.04391280986168,-0.316906447061961,-0.36208811467388,"Non"
1394,28,"Bac+2",1,12,9,-0.46537297985713,-0.694821705425159,-0.429756169948447,-0.359419261426523,"Non"
1395,27,"Niveau bac",9,12,2,-0.407606561086454,0.969379852793767,-0.54028351930155,0.161902008353868,"Non"
1396,34,"Niveau bac",0,12,6,-0.460121487241614,0.104175606884289,-0.44824875081624,-0.158508376168995,"Oui"
1397,35.1479582494049,"Niveau bac",6,12,4,-0.132778447541117,-0.577454868588743,-0.210235959517397,-0.259660608313925,"Oui"
1398,20,"Bac+3",0,12,0,-0.57040283216745,-0.705354626679709,-0.451780740600372,-0.398716174558353,"Non"
1399,41,"Niveau bac",25,12,7.69570871261378,0.728466341403508,1.53966230357584,1.19986913611325,1.45522343429867,"Non"
1400,31,"Bac+2",11,12,8,-0.237808299851437,-0.645166505225137,-0.282243096008325,-0.305762136952965,"Non"
1401,33,"Bac+2",12,12,8,-0.0224971026152809,-0.095949896952164,0.183134776957266,-0.149307172775783,"Non"
1402,29,"Niveau bac",5,12,3,-0.416359048778981,-0.171185048770379,-0.366389579297709,-0.228714737865948,"Non"
1403,28,"Bac+4",3,12,9,0.40112330170301,-0.83475908780704,-0.17529336622275,-0.184388952821328,"Oui"
1404,33,"Bac+4",4,12,11,0.614684001400661,-0.547360807861457,-0.235646728493248,0.164083378567926,"Non"
1405,42,"Bac+2",22,12,21,0.822993208482796,-0.801655621007025,-0.343017011812026,0.0812994297949014,"Non"
1406,42,"Niveau bac",0,12,21,-0.556398851859408,-0.610558335388758,-0.476863858877213,-0.36359351566411,"Non"
1407,39,"Bac+3",6,12,2,-0.265816260467522,4.09916216843153,0.891989518827026,0.790488658108457,"Oui"
1408,24,"Niveau bac",3,12,2,-0.538893876474354,-0.29005658864316,-0.489106175140087,-0.287142050481399,"Oui"
1409,44,"Niveau bac",17,12,21,-0.127526954925601,0.24411298926617,-0.410765028867554,0.18272764757846,"Non"
1410,52,"Bac+3",17,12,12,1.30262953403326,-1.42761208413458,-0.419193583508617,-0.46203308369248,"Non"
1411,18,"Bac+2",0,12,0,-0.46537297985713,-0.524790262315992,-0.451596358234457,-0.309513502484366,"Non"
1412,39,"Bac+2",11,12,9,-0.160786408157202,-0.973191767152556,-0.375514681995524,-0.359301721291951,"Non"
1413,43,"Bac+2",8,12,18,0.0562752866174592,0.599222905848147,0.452671152870033,0.156133445129404,"Non"
1414,47,"Bac+3",23,12,11,2.56648875683411,-1.09206330702534,-0.212886834496496,0.145113650861218,"Non"
1415,34,"Bac+3",7,12,12,-0.293824221083608,0.108689715993382,-0.0887926306593496,-0.171250633767534,"Non"
1416,21,"Niveau bac",2,12,1,-0.596660295245031,-0.774570966352467,-0.460382080926967,-0.417694716007101,"Oui"
1417,35.1479582494049,"Bac+2",18,12,13,1.13283127279824,-1.19438311349811,-0.32420007971914,-0.249132017356312,"Non"
1418,36,"Bac+3",6,12,7,-0.433864024164034,-0.237391982370409,-0.142603013232092,-0.360410228368843,"Non"
1419,32,"Niveau bac",2,12,7.69570871261378,-0.474125467549657,1.88122989283054,-0.492571311760073,0.258004857702868,"Oui"
1420,35.1479582494049,"Bac+3",30,12,22,0.935025050947137,-0.494696201588706,0.190320820886544,0.194908358421719,"Non"
1421,29,"Bac+2",4,12,5,-0.551147359243892,2.02417668128515,-0.480922574089533,0.133634009694711,"Oui"
1422,29,"Niveau bac",10,12,7.69570871261378,-0.43561452170254,-0.0207147451339486,-0.016724887361268,-0.364457577686768,"Non"
1423,43,"Niveau bac",11,12,12,0.00551085800080452,1.96850266893967,1.15273021216474,0.460033109454019,"Oui"
1424,53,"Niveau bac",20,12,0,0.399372804164505,3.45063515975851,0.521842048643329,2.57742028289245,"Oui"
1425,64,"Bac+2",42,12,22,3.78833603871083,0.483360772048095,4.93472493904005,2.20004793298686,"Non"
1426,33,"Niveau bac",7,12,0,-0.295574718622113,0.74367439733912,0.0173982007167881,-0.0116615739375949,"Oui"
1427,37,"Bac+2",12,12,8,0.292592454315679,0.961856337611945,-0.352862609630715,1.03988105640406,"Non"
1428,24,"Niveau bac",5,12,4,-0.262315265390512,-1.21394425297085,-0.470939504660552,-0.42984164378596,"Non"
1429,35.1479582494049,"Bac+3",9,12,10,-0.582656314936988,0.346432795738943,-0.305518885395351,-0.292630689730143,"Non"
1430,36,"Niveau bac",20,12,5,0.206818074928918,-0.12604395767945,-0.236858055941744,0.204070053206972,"Non"
1431,40,"Niveau bac",14,12,12,-0.297325216160618,0.0861191704479175,-0.22417549928463,-0.120168227002601,"Non"
1432,40,"Niveau bac",2,12,6,-0.36034312754681,-1.0514363250435,-0.533268041999857,-0.369556567617562,"Non"
